"ADMX","Parent Category","Name","Display Name","Class","Explain Text","Supported On","Key","Value Name"
"access15.admx","International","L_Defaultdirection","Default direction","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\settings","new tables/queries/forms/reports"
"access15.admx","International","L_GeneralAlignment","General Alignment","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\settings","general alignment"
"access15.admx","International","L_Cursormovement","Cursor movement","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\settings","cursor"
"access15.admx","General","L_Hyperlinkcolor","Hyperlink color","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\internet","hyperlinkcolor"
"access15.admx","General","L_Followedhyperlinkcolor","Followed hyperlink color","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\internet","followedhyperlinkcolor"
"access15.admx","General","L_Underlinehyperlinks","Underline hyperlinks","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\internet","donotunderlinehyperlinks"
"access15.admx","General","L_Recentlyusedfilelist","Number of files in the Recent list","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\file mru","max display"
"access15.admx","General","L_SetNumberOfPlacesInTheRecentPlacesList","Number of folders in the Recent Folders list","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\place mru","max display"
"access15.admx","General","L_Defaultdatabasefolder","Default database folder","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\settings","default database directory"
"access15.admx","Cryptography","L_SetCNGCipherAlgorithm","Set CNG cipher algorithm","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\crypto","cipheralgorithm"
"access15.admx","Cryptography","L_ConfigureCNGCipherChainingMode","Configure CNG cipher chaining mode","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\crypto","cipherchaining"
"access15.admx","Cryptography","L_SetCNGCipherKeyLength","Set CNG cipher key length","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\crypto","cipherkeybits"
"access15.admx","Cryptography","L_SpecifyEncryptionCompatibility","Specify encryption compatibility","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\crypto","compatmode"
"access15.admx","Cryptography","L_SetParametersForCNGContext","Set parameters for CNG context","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\crypto","context"
"access15.admx","Cryptography","L_SpecifyCNGHashAlgorithm","Specify CNG hash algorithm","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\crypto","hashalgorithm"
"access15.admx","Cryptography","L_SetCNGPasswordSpinCount","Set CNG password spin count","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\crypto","passwordspincount"
"access15.admx","Cryptography","L_SpecifyCNGRandomNumberGeneratorAlgorithm","Specify CNG random number generator algorithm","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\crypto","rngalgorithm"
"access15.admx","Cryptography","L_SpecifyCNGSaltLength","Specify CNG salt length","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\crypto","saltbytes"
"access15.admx","Trust Center","L_SetMaximumNumberOfTrustedDocuments","Set maximum number of trusted documents","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\trusted documents","maxtrusteddocuments"
"access15.admx","Trust Center","L_SetMaximumNumberOfTrustRecordsToPreserve","Set maximum number of trust records to preserve","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\trusted documents","maxpreservetrusteddocuments"
"access15.admx","Trust Center","L_VBAWarningsPolicy","VBA Macro Notification Settings","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security","vbawarnings"
"access15.admx","Trust Center","L_TurnOffTrustedDocumentsOnTheNetwork","Turn off Trusted Documents on the network","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\trusted documents","disablenetworktrusteddocuments"
"access15.admx","Trust Center","L_Disableallapplicationextensions","Disable all application add-ins","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security","disablealladdins"
"access15.admx","Trust Center","L_RequirethatApplicationExtensionsaresigned","Require that application add-ins are signed by Trusted Publisher","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security","requireaddinsig"
"access15.admx","Trust Center","L_DisableTrustBarNotificationforunsigned","Disable Trust Bar Notification for unsigned application add-ins and block them","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security","notbpromptunsignedaddin"
"access15.admx","Trust Center","L_TurnOffTrustedDocuments","Turn off trusted documents","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\trusted documents","disabletrusteddocuments"
"access15.admx","Trusted Locations","L_AllowTrustedLocationsOnTheNetwork","Allow Trusted Locations on the network","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\trusted locations","allownetworklocations"
"access15.admx","Trusted Locations","L_DisableTrustedLoc","Disable all trusted locations","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\trusted locations","alllocationsdisabled"
"access15.admx","Trusted Locations","L_TrustedLoc01","Trusted Location #1","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\trusted locations\location1","path ; date ; description ; allowsubfolders"
"access15.admx","Trusted Locations","L_TrustedLoc02","Trusted Location #2","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\trusted locations\location2","path ; date ; description ; allowsubfolders"
"access15.admx","Trusted Locations","L_TrustedLoc03","Trusted Location #3","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\trusted locations\location3","path ; date ; description ; allowsubfolders"
"access15.admx","Trusted Locations","L_TrustedLoc04","Trusted Location #4","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\trusted locations\location4","path ; date ; description ; allowsubfolders"
"access15.admx","Trusted Locations","L_TrustedLoc05","Trusted Location #5","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\trusted locations\location5","path ; date ; description ; allowsubfolders"
"access15.admx","Trusted Locations","L_TrustedLoc06","Trusted Location #6","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\trusted locations\location6","path ; date ; description ; allowsubfolders"
"access15.admx","Trusted Locations","L_TrustedLoc07","Trusted Location #7","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\trusted locations\location7","path ; date ; description ; allowsubfolders"
"access15.admx","Trusted Locations","L_TrustedLoc08","Trusted Location #8","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\trusted locations\location8","path ; date ; description ; allowsubfolders"
"access15.admx","Trusted Locations","L_TrustedLoc09","Trusted Location #9","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\trusted locations\location9","path ; date ; description ; allowsubfolders"
"access15.admx","Trusted Locations","L_TrustedLoc10","Trusted Location #10","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\trusted locations\location10","path ; date ; description ; allowsubfolders"
"access15.admx","Trusted Locations","L_TrustedLoc11","Trusted Location #11","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\trusted locations\location11","path ; date ; description ; allowsubfolders"
"access15.admx","Trusted Locations","L_TrustedLoc12","Trusted Location #12","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\trusted locations\location12","path ; date ; description ; allowsubfolders"
"access15.admx","Trusted Locations","L_TrustedLoc13","Trusted Location #13","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\trusted locations\location13","path ; date ; description ; allowsubfolders"
"access15.admx","Trusted Locations","L_TrustedLoc14","Trusted Location #14","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\trusted locations\location14","path ; date ; description ; allowsubfolders"
"access15.admx","Trusted Locations","L_TrustedLoc15","Trusted Location #15","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\trusted locations\location15","path ; date ; description ; allowsubfolders"
"access15.admx","Trusted Locations","L_TrustedLoc16","Trusted Location #16","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\trusted locations\location16","path ; date ; description ; allowsubfolders"
"access15.admx","Trusted Locations","L_TrustedLoc17","Trusted Location #17","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\trusted locations\location17","path ; date ; description ; allowsubfolders"
"access15.admx","Trusted Locations","L_TrustedLoc18","Trusted Location #18","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\trusted locations\location18","path ; date ; description ; allowsubfolders"
"access15.admx","Trusted Locations","L_TrustedLoc19","Trusted Location #19","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\trusted locations\location19","path ; date ; description ; allowsubfolders"
"access15.admx","Trusted Locations","L_TrustedLoc20","Trusted Location #20","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security\trusted locations\location20","path ; date ; description ; allowsubfolders"
"access15.admx","Tools | Security","L_ModalTrustDecisionOnly","Modal Trust Decision Only","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\security","modaltrustdecisiononly"
"access15.admx","Workgroup Administrator...","L_PathtosharedWorkgroupinformationfileforsecuredMDBfiles","Path to shared Workgroup information file for secured MDB files","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\access connectivity engine\engines","systemdb"
"access15.admx","Customizable Error Messages","L_Listoferrormessagestocustomize","List of error messages to customize","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\customizablealerts",""
"access15.admx","Predefined","L_Disablecommandbarbuttonsandmenuitems","Disable commands","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\disabledcmdbaritemscheckboxes","sendtomailrecipient ; toolssecuritysetpwd ; toolssecurityperms ; toolssecurityaccts ; toolssecuritysecwiz ; toolssecurityencrypt ; toolsmacrovbe ; accrunmacro ; toolsmacroconvertmacros ; toolsmacrocreateshortcutmenu ; addinsmenuicon"
"access15.admx","Predefined","L_Disableshortcutkeys","Disable shortcut keys","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\disabledshortcutkeyscheckboxes","find ; inserthyperlink ; toolsmacrovbe"
"access15.admx","Custom","L_disablecommandbarbuttonsandmenuitems85","Disable commands","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\disabledcmdbaritemslist",""
"access15.admx","Custom","L_disableshortcutkeys86","Disable shortcut keys","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\disabledshortcutkeyslist",""
"access15.admx","Miscellaneous","L_DefaultFileFormat","Default file format","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\settings","default file format"
"access15.admx","Miscellaneous","L_Donotprompttoconvertolderdatabases","Do not prompt to convert older databases","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\settings","noconvertdialog"
"access15.admx","Miscellaneous","L_2007CompatibleCachePolicy","Use Access 2007 compatible cache","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\settings","use2007compatiblecache"
"access15.admx","Miscellaneous","L_ClearCacheOnClosePolicy","Clear cache on close","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\settings","clearcacheonclose"
"access15.admx","Miscellaneous","L_NeverCachePolicy","Never cache data","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\settings","nevercache"
"access15.admx","Miscellaneous","L_BlockAllUnmanagedAddins","Block all unmanaged add-ins","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\resiliency","restricttolist"
"access15.admx","Miscellaneous","L_ListOfManagedAddins","List of managed add-ins","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\resiliency\addinlist",""
"access15.admx","Miscellaneous","L_DisableOfficeStartAccess","Disable the Office Start screen for Access","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\settings","disableboottoofficestart"
"access15.admx","Miscellaneous","L_PersonalTemplatesPath","Personal templates path for Access","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\settings","personaltemplatesaccess"
"access15.admx","Miscellaneous","L_DefaultCustomTab","Show custom templates tab by default in Access on the Office Start screen and in File | New","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\15.0\access\settings","officestartdefaulttab"
"access16.admx","International","L_Defaultdirection","Default direction","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\settings","new tables/queries/forms/reports"
"access16.admx","International","L_GeneralAlignment","General Alignment","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\settings","general alignment"
"access16.admx","International","L_Cursormovement","Cursor movement","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\settings","cursor"
"access16.admx","General","L_Hyperlinkcolor","Hyperlink color","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\internet","hyperlinkcolor"
"access16.admx","General","L_Followedhyperlinkcolor","Followed hyperlink color","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\internet","followedhyperlinkcolor"
"access16.admx","General","L_Underlinehyperlinks","Underline hyperlinks","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\internet","donotunderlinehyperlinks"
"access16.admx","General","L_Recentlyusedfilelist","Number of files in the Recent list","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\file mru","max display"
"access16.admx","General","L_SetNumberOfPlacesInTheRecentPlacesList","Number of folders in the Recent Folders list","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\place mru","max display"
"access16.admx","General","L_Defaultdatabasefolder","Default database folder","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\settings","default database directory"
"access16.admx","Cryptography","L_SetCNGCipherAlgorithm","Set CNG cipher algorithm","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\crypto","cipheralgorithm"
"access16.admx","Cryptography","L_ConfigureCNGCipherChainingMode","Configure CNG cipher chaining mode","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\crypto","cipherchaining"
"access16.admx","Cryptography","L_SetCNGCipherKeyLength","Set CNG cipher key length","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\crypto","cipherkeybits"
"access16.admx","Cryptography","L_SpecifyEncryptionCompatibility","Specify encryption compatibility","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\crypto","compatmode"
"access16.admx","Cryptography","L_SetParametersForCNGContext","Set parameters for CNG context","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\crypto","context"
"access16.admx","Cryptography","L_SpecifyCNGHashAlgorithm","Specify CNG hash algorithm","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\crypto","hashalgorithm"
"access16.admx","Cryptography","L_SetCNGPasswordSpinCount","Set CNG password spin count","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\crypto","passwordspincount"
